[10:12:20] 📍 Loaded 563 district venues
[10:12:20] 🚀 DISTRICT SCRAPER STARTED
[10:12:33] ✅ Fetched 59 venues with shows
[10:12:33] ✅ DONE | Shows=241 | Movies=6
[16:45:46] 📍 Loaded 563 district venues
[16:45:46] 🚀 DISTRICT SCRAPER STARTED
[16:45:58] ✅ Fetched 68 venues with shows
[16:45:58] ✅ DONE | Shows=282 | Movies=6
[04:43:51] 📍 Loaded 563 district venues
[04:43:51] 🚀 DISTRICT SCRAPER STARTED
[04:43:51] ⚠ 9413 status 429
[04:43:51] ⚠ 26676 status 429
[04:43:51] ⚠ 1008335 status 429
[04:43:51] ⚠ 4902 status 429
[04:43:51] ⚠ 9411 status 429
[04:43:51] ⚠ 1040228 status 429
[04:43:51] ⚠ 62637 status 429
[04:43:51] ⚠ 4107 status 429
[04:43:51] ⚠ 1021922 status 429
[04:43:51] ⚠ 25808 status 429
[04:43:51] ⚠ 1037532 status 429
[04:43:51] ⚠ 9424 status 429
[04:43:51] ⚠ 1005804 status 429
[04:43:51] ⚠ 25011 status 429
[04:43:51] ⚠ 1012189 status 429
[04:43:51] ⚠ 1037345 status 429
[04:43:51] ⚠ 9350 status 429
[04:43:51] ⚠ 1040731 status 429
[04:43:51] ⚠ 14166 status 429
[04:43:51] ⚠ 1041505 status 429
[04:43:51] ⚠ 1039272 status 429
[04:43:51] ⚠ 9474 status 429
[04:43:51] ⚠ 1034324 status 429
[04:43:51] ⚠ 4036 status 429
[04:43:51] ⚠ 7350 status 429
[04:43:51] ⚠ 1005797 status 429
[04:43:51] ⚠ 36879 status 429
[04:43:51] ⚠ 9551 status 429
[04:43:51] ⚠ 9491 status 429
[04:43:51] ⚠ 4733 status 429
[04:43:51] ⚠ 4272 status 429
[04:43:51] ⚠ 1037506 status 429
[04:43:51] ⚠ 1008404 status 429
[04:43:51] ⚠ 1042439 status 429
[04:43:51] ⚠ 14669 status 429
[04:43:51] ⚠ 1031296 status 429
[04:43:51] ⚠ 4045 status 429
[04:43:51] ⚠ 1071622 status 429
[04:43:51] ⚠ 1012081 status 429
[04:43:51] ⚠ 1025740 status 429
[04:43:51] ⚠ 4715 status 429
[04:43:51] ⚠ 5058 status 429
[04:43:51] ⚠ 4725 status 429
[04:43:51] ⚠ 1027903 status 429
[04:43:51] ⚠ 42945 status 429
[04:43:51] ⚠ 1014990 status 429
[04:43:51] ⚠ 26640 status 429
[04:43:51] ⚠ 1065987 status 429
[04:43:51] ⚠ 1037523 status 429
[04:43:51] ⚠ 46485 status 429
